Id	Word	Meaning	Pronunciation	AudioUrl
1506	agree	đồng ý	/əˈɡriː/	
1507	allow	cho phép	/əˈlaʊ/	
1508	announce	thông báo	/əˈnaʊns/	
1509	apologize	xin lỗi	/əˈpɑː.lə.dʒaɪz/	
1510	apply	nộp đơn, ứng tuyển; áp dụng	/əˈplaɪ/	
1511	appoint	bổ nhiệm	/əˈpɔɪnt/	
1512	arrive	đến nơi	/əˈraɪv/	
1513	ask	hỏi; yêu cầu	/æsk/	
1514	assist	hỗ trợ, giúp đỡ	/əˈsɪst/	
1515	attract	thu hút	/əˈtrækt/	
1516	available	có sẵn, khả dụng	/əˈveɪ.lə.bəl/	
1517	avoid	tránh	/əˈvɔɪd/	
1518	balance	số dư; sự cân bằng	/ˈbæl.əns/	
1519	belong	thuộc về	/bɪˈlɑːŋ/	
1520	benefit	lợi ích; hưởng lợi	/ˈben.ə.fɪt/	
1521	bill	hóa đơn	/bɪl/	
1522	book	đặt chỗ; quyển sách	/bʊk/	
1523	borrow	vay, mượn	/ˈbɑːr.oʊ/	
1524	branch	chi nhánh	/bræntʃ/	
1525	build	xây dựng	/bɪld/	
1526	business	kinh doanh; công việc	/ˈbɪz.nɪs/	
1527	buy	mua	/baɪ/	
1528	call	gọi điện; cuộc gọi	/kɑːl/	
1529	candidate	ứng cử viên	/ˈkæn.dɪ.deɪt/	
1530	carry	mang, vác	/ˈker.i/	
1531	cash	tiền mặt	/kæʃ/	
1532	cause	nguyên nhân; gây ra	/kɑːz/	
1533	celebrate	ăn mừng, kỷ niệm	/ˈsel.ə.breɪt/	
1534	certain	chắc chắn	/ˈsɝː.tən/	
1535	change	thay đổi; tiền lẻ	/tʃeɪndʒ/	
1536	charge	tính phí; phí	/tʃɑːrdʒ/	
1537	check	kiểm tra; séc	/tʃek/	
1538	choose	lựa chọn	/tʃuːz/	
1539	close	đóng; gần	/kloʊz/	
1540	collect	sưu tầm, thu thập	/kəˈlekt/	
1541	committee	ủy ban	/kəˈmɪt̬.i/	
1542	compare	so sánh	/kəmˈper/	
1543	compete	cạnh tranh	/kəmˈpiːt/	
1544	complain	phàn nàn	/kəmˈpleɪn/	
1545	contain	chứa đựng	/kənˈteɪn/	
1546	continue	tiếp tục	/kənˈtɪn.juː/	
1547	contract	hợp đồng	/ˈkɑːn.trækt/	
1548	contribute	đóng góp	/kənˈtrɪb.juːt/	
1549	convince	thuyết phục	/kənˈvɪns/	
1550	cooperate	hợp tác	/koʊˈɑː.pə.reɪt/	
1551	copy	bản sao; sao chép	/ˈkɑː.pi/	
1552	correct	đúng; sửa chữa	/kəˈrekt/	
1553	cost	chi phí; tốn kém	/kɑːst/	
1554	count	đếm	/kaʊnt/	
1555	cover	che phủ; bao gồm	/ˈkʌv.ɚ/	
1556	create	tạo ra	/kriˈeɪt/	
1557	credit	tín dụng	/ˈkred.ɪt/	
1558	damage	thiệt hại; làm hỏng	/ˈdæm.ɪdʒ/	
1559	deal	thỏa thuận; giải quyết	/diːl/	
1560	decide	quyết định	/dɪˈsaɪd/	
1561	decrease	giảm; sự sụt giảm	/ˈdiː.kriːs/	
1562	deliver	giao hàng	/dɪˈlɪv.ɚ/	
1563	depart	khởi hành	/dɪˈpɑːrt/	
1564	depend	phụ thuộc	/dɪˈpend/	
1565	deposit	tiền đặt cọc; gửi tiền	/dɪˈpɑː.zɪt/	
1566	describe	mô tả	/dɪˈskraɪb/	
1567	design	thiết kế; bản thiết kế	/dɪˈzaɪn/	
1568	develop	phát triển	/dɪˈvel.əp/	
1569	direct	trực tiếp; chỉ dẫn	/daɪˈrekt/	
1570	discuss	thảo luận	/dɪˈskʌs/	
1571	divide	chia	/dɪˈvaɪd/	
1572	double	gấp đôi	/ˈdʌb.əl/	
1573	download	tải xuống	/ˈdaʊn.loʊd/	
1574	draw	vẽ; rút (tiền)	/drɑː/	
1575	drive	lái xe	/draɪv/	
1576	drop	rơi; làm rơi	/drɑːp/	
1577	due	đến hạn	/duː/	
1578	duty	nhiệm vụ, trách nhiệm	/ˈduː.t̬i/	
1579	earn	kiếm (tiền)	/ɝːn/	
1580	easy	dễ dàng	/ˈiː.zi/	
1581	effect	ảnh hưởng, hiệu quả	/ɪˈfekt/	
1582	effort	nỗ lực	/ˈef.ɚt/	
1583	employ	thuê, tuyển dụng	/ɪmˈplɔɪ/	
1584	empty	trống rỗng	/ˈemp.ti/	
1585	encourage	khuyến khích	/ɪnˈkɝː.ɪdʒ/	
1586	end	kết thúc; phần cuối	/end/	
1587	energy	năng lượng	/ˈen.ɚ.dʒi/	
1588	enlarge	mở rộng, phóng to	/ɪnˈlɑːrdʒ/	
1589	enough	đủ	/ɪˈnʌf/	
1590	enter	đi vào; nhập (dữ liệu)	/ˈen.t̬ɚ/	
1591	error	lỗi	/ˈer.ɚ/	
1592	event	sự kiện	/ɪˈvent/	
1593	examine	kiểm tra, xem xét	/ɪɡˈzæm.ɪn/	
1594	example	ví dụ	/ɪɡˈzæm.pəl/	
1595	exchange	trao đổi; sự trao đổi	/ɪksˈtʃeɪndʒ/	
1596	excuse	lý do, lời bào chữa; tha lỗi	/ɪkˈskjuːs/	
1597	exercise	bài tập; tập thể dục	/ˈek.sɚ.saɪz/	
1598	exhibit	trưng bày; vật trưng bày	/ɪɡˈzɪb.ɪt/	
1599	expect	mong đợi	/ɪkˈspekt/	
1600	expense	chi phí	/ɪkˈspens/	
1601	experience	kinh nghiệm; trải nghiệm	/ɪkˈspɪr.i.əns/	
1602	explain	giải thích	/ɪkˈspleɪn/	
1603	express	bày tỏ; nhanh (tàu)	/ɪkˈspres/	
1604	extend	mở rộng, kéo dài	/ɪkˈstend/	
1605	extra	thêm, phụ	/ˈek.strə/	
1606	face	đối mặt; khuôn mặt	/feɪs/	
1607	fact	sự thật	/fækt/	
1608	factory	nhà máy	/ˈfæk.tɚ.i/	
1609	fail	thất bại	/feɪl/	
1610	fair	công bằng; hội chợ	/fer/	
1611	fall	rơi, ngã; mùa thu	/fɑːl/	
1612	familiar	quen thuộc	/fəˈmɪl.i.jɚ/	
1613	famous	nổi tiếng	/ˈfeɪ.məs/	
1614	fare	tiền vé (tàu, xe)	/fer/	
1615	fast	nhanh	/fæst/	
1616	fault	lỗi, khuyết điểm	/fɑːlt/	
1617	favor	sự ưu ái, thiện ý	/ˈfeɪ.vɚ/	
1618	feature	đặc điểm, tính năng	/ˈfiː.tʃɚ/	
1619	fee	phí	/fiː/	
1620	feel	cảm thấy	/fiːl/	
1621	few	một vài, ít	/fjuː/	
1622	field	lĩnh vực; cánh đồng	/fiːld/	
1623	figure	con số; hình dáng	/ˈfɪɡ.jɚ/	
1624	file	hồ sơ, tài liệu; nộp	/faɪl/	
1625	fill	làm đầy, điền vào	/fɪl/	
1626	final	cuối cùng	/ˈfaɪ.nəl/	
1627	finance	tài chính	/ˈfaɪ.næns/	
1628	find	tìm thấy	/faɪnd/	
1629	fine	tốt, ổn; tiền phạt	/faɪn/	
1630	finish	hoàn thành, kết thúc	/ˈfɪn.ɪʃ/	
1631	firm	công ty; chắc chắn	/fɝːm/	
1632	fit	vừa vặn; phù hợp	/fɪt/	
1633	fix	sửa chữa; cố định	/fɪks/	
1634	flat	bằng phẳng; căn hộ	/flæt/	
1635	flight	chuyến bay	/flaɪt/	
1636	floor	sàn nhà; tầng	/flɔːr/	
1637	follow	theo sau, tuân theo	/ˈfɑː.loʊ/	
1638	food	thức ăn	/fuːd/	
1639	force	ép buộc; lực lượng	/fɔːrs/	
1640	foreign	nước ngoài	/ˈfɔːr.ən/	
1641	form	hình thức; mẫu đơn	/fɔːrm/	
1642	formal	trang trọng	/ˈfɔːr.məl/	
1643	found	thành lập	/faʊnd/	
1644	free	miễn phí; rảnh rỗi	/friː/	
1645	fresh	tươi mới	/freʃ/	
1646	front	phía trước	/frʌnt/	
1647	fuel	nhiên liệu	/ˈfjuː.əl/	
1648	full	đầy đủ	/fʊl/	
1649	function	chức năng; hoạt động	/ˈfʌŋk.ʃən/	
1650	fund	quỹ; tài trợ	/fʌnd/	
1651	gain	đạt được, thu được	/ɡeɪn/	
1652	gallery	phòng trưng bày	/ˈɡæl.ɚ.i/	
1653	garage	nhà để xe	/ɡəˈrɑːʒ/	
1654	gas	khí đốt; xăng	/ɡæs/	
1655	gate	cổng	/ɡeɪt/	
1656	gather	tập hợp, thu thập	/ˈɡæð.ɚ/	
1657	general	chung, tổng quát	/ˈdʒen.ər.əl/	
1658	gentle	nhẹ nhàng, dịu dàng	/ˈdʒen.t̬əl/	
1659	gift	món quà	/ɡɪft/	
1660	goal	mục tiêu	/ɡoʊl/	
1661	goods	hàng hóa	/ɡʊdz/	
1662	govern	cai trị, quản lý	/ˈɡʌv.ɚn/	
1663	grade	điểm số; cấp độ	/ɡreɪd/	
1664	graduate	tốt nghiệp	/ˈɡrædʒ.u.ət/	
1665	greet	chào hỏi	/ɡriːt/	
1666	ground	mặt đất	/ɡraʊnd/	
1667	group	nhóm	/ɡruːp/	
1668	grow	phát triển, trồng trọt	/ɡroʊ/	
1669	guard	bảo vệ; lính gác	/ɡɑːrd/	
1670	guess	đoán	/ɡes/	
1671	guest	khách mời	/ɡest/	
1672	guide	hướng dẫn; người hướng dẫn	/ɡaɪd/	
1673	habit	thói quen	/ˈhæb.ɪt/	
1674	hair	tóc	/her/	
1675	half	một nửa	/hæf/	
1676	hall	hành lang, sảnh	/hɑːl/	
1677	hand	bàn tay; trao	/hænd/	
1678	hang	treo	/hæŋ/	
1679	happen	xảy ra	/ˈhæp.ən/	
1680	happy	vui vẻ, hạnh phúc	/ˈhæp.i/	
1681	hard	khó khăn; cứng rắn	/hɑːrd/	
1682	harm	tổn hại; sự tổn hại	/hɑːrm/	
1683	hat	cái mũ	/hæt/	
1684	hate	ghét	/heɪt/	
1685	head	cái đầu; người đứng đầu	/hed/	
1686	health	sức khỏe	/helθ/	
1687	hear	nghe	/hɪr/	
1688	heart	trái tim	/hɑːrt/	
1689	heat	sức nóng; làm nóng	/hiːt/	
1690	heavy	nặng	/ˈhev.i/	
1691	height	chiều cao	/haɪt/	
1692	help	giúp đỡ; sự giúp đỡ	/help/	
1693	hide	che giấu, trốn	/haɪd/	
1694	high	cao	/haɪ/	
1695	history	lịch sử	/ˈhɪs.tɚ.i/	
1696	hit	đánh, va vào	/hɪt/	
1697	hold	cầm, giữ; tổ chức	/hoʊld/	
1698	hole	lỗ hổng	/hoʊl/	
1699	holiday	kỳ nghỉ	/ˈhɑː.lə.deɪ/	
1700	honest	trung thực	/ˈɑː.nɪst/	
1701	honor	danh dự; tôn vinh	/ˈɑː.nɚ/	
1702	hope	hy vọng; niềm hy vọng	/hoʊp/	
1703	horse	con ngựa	/hɔːrs/	
1704	hospital	bệnh viện	/ˈhɑː.spɪ.t̬əl/	
1705	host	chủ nhà; tổ chức (sự kiện)	/hoʊst/	
1706	hot	nóng	/hɑːt/	
1707	hotel	khách sạn	/hoʊˈtel/	
1708	hour	giờ	/aʊr/	
1709	house	ngôi nhà	/haʊs/	
1710	huge	to lớn, khổng lồ	/hjuːdʒ/	
1711	human	con người; thuộc về con người	/ˈhjuː.mən/	
1712	hungry	đói	/ˈhʌŋ.ɡri/	
1713	hunt	săn bắn	/hʌnt/	
1714	hurry	vội vàng; sự vội vàng	/ˈhɝː.i/	
1715	hurt	làm đau	/hɝːt/	
1716	husband	chồng	/ˈhʌz.bənd/	
1717	ice	băng, đá	/aɪs/	
1718	idea	ý tưởng	/aɪˈdiː.ə/	
1719	identify	nhận diện, xác định	/aɪˈden.t̬ə.faɪ/	
1720	ignore	phớt lờ	/ɪɡˈnɔːr/	
1721	image	hình ảnh	/ˈɪm.ɪdʒ/	
1722	imagine	tưởng tượng	/ɪˈmædʒ.ɪn/	
1723	important	quan trọng	/ɪmˈpɔːr.tənt/	
1724	improve	cải thiện	/ɪmˈpruːv/	
1725	include	bao gồm	/ɪnˈkluːd/	
1726	income	thu nhập	/ˈɪn.kʌm/	
1727	increase	tăng lên; sự gia tăng	/ɪnˈkriːs/	
1728	indeed	thật vậy, quả thực	/ɪnˈdiːd/	
1729	indicate	chỉ ra, biểu thị	/ˈɪn.də.keɪt/	
1730	individual	cá nhân	/ˌɪn.dəˈvɪdʒ.u.əl/	
1731	industry	công nghiệp; ngành	/ˈɪn.dəs.tri/	
1732	influence	ảnh hưởng; sự ảnh hưởng	/ˈɪn.flu.əns/	
1733	information	thông tin	/ˌɪn.fɚˈmeɪ.ʃən/	
1734	injury	vết thương	/ˈɪn.dʒər.i/	
1735	inside	bên trong	/ɪnˈsaɪd/	
1736	insist	khăng khăng, nhấn mạnh	/ɪnˈsɪst/	
1737	instead	thay vào đó	/ɪnˈsted/	
1738	instruct	hướng dẫn	/ɪnˈstrʌkt/	
1739	instrument	nhạc cụ; công cụ	/ˈɪn.strə.mənt/	
1740	interest	sự quan tâm; lãi suất	/ˈɪn.trəst/	
1741	introduce	giới thiệu	/ˌɪn.trəˈduːs/	
1742	invent	phát minh	/ɪnˈvent/	
1743	invest	đầu tư	/ɪnˈvest/	
1744	invite	mời	/ɪnˈvaɪt/	
1745	involve	liên quan, bao gồm	/ɪnˈvɑːlv/	
1746	iron	sắt; bàn là	/aɪrn/	
1747	island	hòn đảo	/ˈaɪ.lənd/	
1748	item	món hàng, khoản mục	/ˈaɪ.t̬əm/	
1749	jacket	áo khoác	/ˈdʒæk.ɪt/	
1750	jam	mứt; tắc nghẽn	/dʒæm/	
1751	job	công việc	/dʒɑːb/	
1752	join	tham gia, nối	/dʒɔɪn/	
1753	joke	trò đùa; nói đùa	/dʒoʊk/	
1754	journey	hành trình	/ˈdʒɝː.ni/	
1755	judge	đánh giá; thẩm phán	/dʒʌdʒ/	
1756	juice	nước ép	/dʒuːs/	
1757	jump	nhảy	/dʒʌmp/	
1758	junior	cấp dưới, ít tuổi hơn	/ˈdʒuː.ni.ɚ/	
1759	keep	giữ	/kiːp/	
1760	key	chìa khóa; phím; chính yếu	/kiː/	
1761	kick	đá	/kɪk/	
1762	kid	đứa trẻ; nói đùa	/kɪd/	
1763	kill	giết	/kɪl/	
1764	kind	tử tế; loại	/kaɪnd/	
1765	king	vua	/kɪŋ/	
1766	kitchen	nhà bếp	/ˈkɪtʃ.ən/	
1767	knee	đầu gối	/niː/	
1768	knock	gõ cửa	/nɑːk/	
1769	know	biết	/noʊ/	
1770	knowledge	kiến thức	/ˈnɑː.lɪdʒ/	
1771	label	nhãn hiệu; dán nhãn	/ˈleɪ.bəl/	
1772	laboratory	phòng thí nghiệm	/ˈlæb.rə.tɔːr.i/	
1773	lack	thiếu; sự thiếu hụt	/læk/	
1774	lady	quý bà	/ˈleɪ.di/	
1775	lake	hồ nước	/leɪk/	
1776	lamp	cái đèn	/læmp/	
1777	land	đất liền; hạ cánh	/lænd/	
1778	language	ngôn ngữ	/ˈlæŋ.ɡwɪdʒ/	
1779	large	rộng lớn	/lɑːrdʒ/	
1780	last	cuối cùng; kéo dài	/læst/	
1781	late	muộn, trễ	/leɪt/	
1782	laugh	cười	/læf/	
1783	law	luật pháp	/lɔː/	
1784	lawyer	luật sư	/ˈlɔɪ.ɚ/	
1785	lay	đặt, để	/leɪ/	
1786	lazy	lười biếng	/ˈleɪ.zi/	
1787	leader	người lãnh đạo	/ˈliː.dɚ/	
1788	learn	học	/lɝːn/	
1789	least	ít nhất	/liːst/	
1790	leave	rời đi; để lại	/liːv/	
1791	left	bên trái; quá khứ của leave	/left/	
1792	leg	chân	/leɡ/	
1793	legal	hợp pháp	/ˈliː.ɡəl/	
1794	lend	cho vay, cho mượn	/lend/	
1795	length	chiều dài	/leŋθ/	
1796	less	ít hơn	/les/	
1797	lesson	bài học	/ˈles.ən/	
1798	letter	lá thư; chữ cái	/ˈlet̬.ɚ/	
1799	level	mức độ, cấp độ	/ˈlev.əl/	
1800	library	thư viện	/ˈlaɪ.brer.i/	
1801	lie	nói dối; nằm	/laɪ/	
1802	life	cuộc sống	/laɪf/	
1803	lift	nâng lên; thang máy	/lɪft/	
1804	light	ánh sáng; nhẹ	/laɪt/	
1805	like	thích; giống như	/laɪk/	
1806	limit	giới hạn; hạn chế	/ˈlɪm.ɪt/	
1807	line	đường kẻ; hàng	/laɪn/	
1808	link	liên kết; đường dẫn	/lɪŋk/	
1809	lip	môi	/lɪp/	
1810	liquid	chất lỏng	/ˈlɪk.wɪd/	
1811	list	danh sách; liệt kê	/lɪst/	
1812	listen	lắng nghe	/ˈlɪs.ən/	
1813	little	nhỏ, ít	/ˈlɪt̬.əl/	
1814	live	sống; trực tiếp	/lɪv/	
1815	load	tải; chất hàng	/loʊd/	
1816	loan	khoản vay	/loʊn/	
1817	local	địa phương	/ˈloʊ.kəl/	
1818	locate	xác định vị trí	/ˈloʊ.keɪt/	
1819	lock	khóa; ổ khóa	/lɑːk/	
1820	logical	hợp lý, logic	/ˈlɑː.dʒɪ.kəl/	
1821	long	dài	/lɑːŋ/	
1822	look	nhìn; vẻ ngoài	/lʊk/	
1823	loose	lỏng lẻo	/luːs/	
1824	lose	mất, thua	/luːz/	
1825	loss	sự mất mát, thua lỗ	/lɑːs/	
1826	loud	to tiếng	/laʊd/	
1827	love	yêu; tình yêu	/lʌv/	
1828	low	thấp	/loʊ/	
1829	lower	hạ thấp	/ˈloʊ.ɚ/	
1830	luck	may mắn	/lʌk/	
1831	luggage	hành lý	/ˈlʌɡ.ɪdʒ/	
1832	lunch	bữa trưa	/lʌntʃ/	
1833	machine	máy móc	/məˈʃiːn/	
1834	magazine	tạp chí	/ˈmæɡ.ə.ziːn/	
1835	mail	thư tín; gửi thư	/meɪl/	
1836	main	chính, chủ yếu	/meɪn/	
1837	major	chính, lớn; chuyên ngành	/ˈmeɪ.dʒɚ/	
1838	make	làm, chế tạo	/meɪk/	
1839	male	nam giới	/meɪl/	
1840	manage	quản lý, xoay xở	/ˈmæn.ɪdʒ/	
1841	manner	cách thức, thái độ	/ˈmæn.ɚ/	
1842	manufacture	sản xuất, chế tạo	/ˌmæn.jəˈfæk.tʃɚ/	
1843	many	nhiều	/ˈmen.i/	
1844	map	bản đồ	/mæp/	
1845	mark	dấu hiệu; đánh dấu	/mɑːrk/	
1846	market	chợ, thị trường	/ˈmɑːr.kɪt/	
1847	marry	kết hôn	/ˈmer.i/	
1848	match	trận đấu; phù hợp	/mætʃ/	
1849	material	vật liệu, tài liệu	/məˈtɪr.i.əl/	
1850	matter	vấn đề; có ý nghĩa	/ˈmæt̬.ɚ/	
1851	maximum	tối đa	/ˈmæk.sə.məm/	
1852	meal	bữa ăn	/miːl/	
1853	mean	có nghĩa là; keo kiệt	/miːn/	
1854	measure	đo lường; biện pháp	/ˈmeʒ.ɚ/	
1855	meat	thịt	/miːt/	
1856	mechanic	thợ cơ khí	/məˈkæn.ɪk/	
1857	medical	thuộc về y tế	/ˈmed.ɪ.kəl/	
1858	medium	trung bình; phương tiện	/ˈmiː.di.əm/	
1859	meet	gặp gỡ; đáp ứng	/miːt/	
1860	member	thành viên	/ˈmem.bɚ/	
1861	memory	trí nhớ, kỷ niệm	/ˈmem.ər.i/	
1862	menu	thực đơn	/ˈmen.juː/	
1863	merchant	thương gia	/ˈmɝː.tʃənt/	
1864	metal	kim loại	/ˈmet̬.əl/	
1865	method	phương pháp	/ˈmeθ.əd/	
1866	middle	ở giữa	/ˈmɪd.əl/	
1867	mild	nhẹ, ôn hòa	/maɪld/	
1868	milk	sữa	/mɪlk/	
1869	mind	tâm trí; để ý, phiền lòng	/maɪnd/	
1870	mine	của tôi; mỏ	/maɪn/	
1871	minimum	tối thiểu	/ˈmɪn.ə.məm/	
1872	minister	bộ trưởng	/ˈmɪn.ɪ.stɚ/	
1873	minor	nhỏ, thứ yếu	/ˈmaɪ.nɚ/	
1874	minus	trừ đi; dấu trừ	/ˈmaɪ.nəs/	
1875	minute	phút	/ˈmɪn.ɪt/	
1876	mirror	gương	/ˈmɪr.ɚ/	
1877	miss	nhớ; bỏ lỡ	/mɪs/	
1878	mistake	lỗi lầm	/mɪˈsteɪk/	
1879	mix	trộn lẫn; hỗn hợp	/mɪks/	
1880	model	mô hình, mẫu	/ˈmɑː.dəl/	
1881	modern	hiện đại	/ˈmɑː.dɚn/	
1882	moment	khoảnh khắc	/ˈmoʊ.mənt/	
1883	money	tiền	/ˈmʌn.i/	
1884	month	tháng	/mʌnθ/	
1885	mood	tâm trạng	/muːd/	
1886	moon	mặt trăng	/muːn/	
1887	moral	đạo đức	/ˈmɔːr.əl/	
1888	morning	buổi sáng	/ˈmɔːr.nɪŋ/	
1889	mountain	núi	/ˈmaʊn.tən/	
1890	mouse	con chuột	/maʊs/	
1891	mouth	miệng	/maʊθ/	
1892	move	di chuyển	/muːv/	
1893	movie	phim	/ˈmuː.vi/	
1894	much	nhiều	/mʌtʃ/	
1895	multiply	nhân lên	/ˈmʌl.tə.plaɪ/	
1896	muscle	cơ bắp	/ˈmʌs.əl/	
1897	museum	bảo tàng	/mjuːˈziː.əm/	
1898	music	âm nhạc	/ˈmjuː.zɪk/	
1899	narrow	hẹp	/ˈner.oʊ/	
1900	nation	quốc gia	/ˈneɪ.ʃən/	
1901	native	bản địa	/ˈneɪ.t̬ɪv/	
1902	natural	tự nhiên	/ˈnætʃ.ɚ.əl/	
1903	nature	thiên nhiên; bản chất	/ˈneɪ.tʃɚ/	
1904	near	gần	/nɪr/	
1905	necessary	cần thiết	/ˈnes.ə.ser.i/	
1906	neck	cổ	/nek/	
1907	need	cần; nhu cầu	/niːd/	
1908	negative	tiêu cực, phủ định	/ˈneɡ.ə.t̬ɪv/	
1909	neighbor	hàng xóm	/ˈneɪ.bɚ/	
1910	nerve	dây thần kinh; can đảm	/nɝːv/	
1911	never	không bao giờ	/ˈnev.ɚ/	
1912	news	tin tức	/nuːz/	
1913	newspaper	báo giấy	/ˈnuːzˌpeɪ.pɚ/	
1914	nice	tốt đẹp, tử tế	/naɪs/	
1915	night	ban đêm	/naɪt/	
1916	noise	tiếng ồn	/nɔɪz/	
1917	normal	bình thường	/ˈnɔːr.məl/	
1918	north	phía bắc	/nɔːrθ/	
1919	nose	mũi	/noʊz/	
1920	note	ghi chú; lưu ý	/noʊt/	
1921	number	con số; số lượng	/ˈnʌm.bɚ/	
1922	nurse	y tá	/nɝːs/	
1923	object	vật thể; phản đối	/ˈɑːb.dʒekt/	
1924	observe	quan sát	/əbˈzɝːv/	
1925	obtain	đạt được, có được	/əbˈteɪn/	
1926	obvious	rõ ràng, hiển nhiên	/ˈɑːb.vi.əs/	
1927	occasion	dịp, cơ hội	/əˈkeɪ.ʒən/	
1928	occupy	chiếm giữ; bận rộn	/ˈɑː.kjə.paɪ/	
1929	occur	xảy ra	/əˈkɝː/	
1930	ocean	đại dương	/ˈoʊ.ʃən/	
1931	offer	đề nghị; lời đề nghị	/ˈɑː.fɚ/	
1932	office	văn phòng	/ˈɑː.fɪs/	
1933	often	thường xuyên	/ˈɑːf.tən/	
1934	oil	dầu	/ɔɪl/	
1935	old	cũ, già	/oʊld/	
1936	once	một lần	/wʌns/	
1937	only	chỉ, duy nhất	/ˈoʊn.li/	
1938	open	mở	/ˈoʊ.pən/	
1939	opinion	ý kiến	/əˈpɪn.jən/	
1940	oppose	phản đối	/əˈpoʊz/	
1941	opposite	đối diện; trái ngược	/ˈɑː.pə.zɪt/	
1942	order	đặt hàng; mệnh lệnh; thứ tự	/ˈɔːr.dɚ/	
1943	ordinary	bình thường, thông thường	/ˈɔːr.də.ner.i/	
1944	original	nguyên bản, gốc	/əˈrɪdʒ.ən.əl/	
1945	other	khác	/ˈʌð.ɚ/	
1946	outside	bên ngoài	/ˌaʊtˈsaɪd/	
1947	oven	lò nướng	/ˈʌv.ən/	
1948	over	qua, trên; kết thúc	/ˈoʊ.vɚ/	
1949	overseas	nước ngoài, hải ngoại	/ˌoʊ.vɚˈsiːz/	
1950	owe	nợ	/oʊ/	
1951	own	sở hữu; của riêng	/oʊn/	
1952	owner	chủ sở hữu	/ˈoʊ.nɚ/	
1953	pack	đóng gói; gói	/pæk/	
1954	package	gói hàng, kiện hàng	/ˈpæk.ɪdʒ/	
1955	page	trang (sách, web)	/peɪdʒ/	
1956	pain	cơn đau	/peɪn/	
1957	paint	sơn; bức tranh sơn dầu	/peɪnt/	
1958	pair	đôi, cặp	/per/	
1959	pants	quần dài	/pænts/	
1960	pardon	tha lỗi; sự tha lỗi	/ˈpɑːr.dən/	
1961	parent	cha mẹ	/ˈper.ənt/	
1962	park	công viên; đỗ xe	/pɑːrk/	
1963	part	phần, bộ phận	/pɑːrt/	
1964	particular	cụ thể, đặc biệt	/pɚˈtɪk.jə.lɚ/	
1965	partner	đối tác; bạn đời	/ˈpɑːrt.nɚ/	
1966	pass	vượt qua; thẻ thông hành	/pæs/	
1967	passenger	hành khách	/ˈpæs.ən.dʒɚ/	
1968	passport	hộ chiếu	/ˈpæs.pɔːrt/	
1969	past	quá khứ	/pæst/	
1970	patient	kiên nhẫn; bệnh nhân	/ˈpeɪ.ʃənt/	
1971	pattern	mẫu, khuôn mẫu	/ˈpæt̬.ɚn/	
1972	pause	tạm dừng; sự tạm dừng	/pɑːz/	
1973	pay	trả tiền; lương	/peɪ/	
1974	payment	sự thanh toán	/ˈpeɪ.mənt/	
1975	peace	hòa bình	/piːs/	
1976	pencil	bút chì	/ˈpen.səl/	
1977	people	người (số nhiều)	/ˈpiː.pəl/	
1978	percent	phần trăm	/pɚˈsent/	
1979	perfect	hoàn hảo	/ˈpɝː.fekt/	
1980	perhaps	có lẽ	/pɚˈhæps/	
1981	period	giai đoạn, thời kỳ	/ˈpɪr.i.əd/	
1982	person	người (số ít)	/ˈpɝː.sən/	
1983	personal	cá nhân	/ˈpɝː.sən.əl/	
1984	pet	thú cưng	/pet/	
1985	phone	điện thoại	/foʊn/	
1986	photo	ảnh	/ˈfoʊ.t̬oʊ/	
1987	phrase	cụm từ	/freɪz/	
1988	physical	thuộc về thể chất, vật lý	/ˈfɪz.ɪ.kəl/	
1989	pick	chọn, nhặt	/pɪk/	
1990	picnic	chuyến dã ngoại	/ˈpɪk.nɪk/	
1991	picture	bức tranh, hình ảnh	/ˈpɪk.tʃɚ/	
1992	piece	mảnh, miếng	/piːs/	
1993	pilot	phi công	/ˈpaɪ.lət/	
1994	pipe	ống dẫn	/paɪp/	
1995	place	nơi chốn; đặt để	/pleɪs/	
1996	plain	đồng bằng; đơn giản	/pleɪn/	
1997	plan	kế hoạch; lập kế hoạch	/plæn/	
1998	plane	máy bay	/pleɪn/	
1999	plant	thực vật; nhà máy; trồng	/plænt/	
2000	plastic	nhựa	/ˈplæs.tɪk/	
2001	plate	đĩa	/pleɪt/	
2002	platform	sân ga; nền tảng	/ˈplæt.fɔːrm/	
2003	play	chơi; vở kịch	/pleɪ/	
2004	pleasant	dễ chịu	/ˈplez.ənt/	
2005	please	làm hài lòng; vui lòng	/pliːz/	
2006	pleasure	niềm vui thích	/ˈpleʒ.ɚ/	
2007	plenty	nhiều	/ˈplen.t̬i/	
2008	plus	cộng; dấu cộng	/plʌs/	
2009	pocket	túi quần, áo	/ˈpɑː.kɪt/	
2010	point	điểm; chỉ trỏ	/pɔɪnt/	
2011	poison	chất độc; đầu độc	/ˈpɔɪ.zən/	
2012	police	cảnh sát	/pəˈliːs/	
2013	polite	lịch sự	/pəˈlaɪt/	
2014	political	thuộc về chính trị	/pəˈlɪt̬.ɪ.kəl/	
2015	pool	bể bơi; vũng nước	/puːl/	
2016	poor	nghèo; tội nghiệp	/pʊr/	
2017	popular	phổ biến, nổi tiếng	/ˈpɑː.pjə.lɚ/	
2018	population	dân số	/ˌpɑː.pjəˈleɪ.ʃən/	
2019	port	cảng	/pɔːrt/	
2020	position	vị trí, chức vụ	/pəˈzɪʃ.ən/	
